Country,Probabilidade,Disponibilidade,Atributo,Urânio (Ton.)
Algeria,RAR,Recoverable,Entre 80 e 130 USD,0
Algeria,RAR,Recoverable,Entre 130 e 260 USD,19500
Argentina,RAR,Recoverable,<USD 40/kgU,0
Argentina,RAR,Recoverable,Entre 40 e 80 USD,7000
Argentina,RAR,Recoverable,Entre 80 e 130 USD,3500
Argentina,RAR,Recoverable,Entre 130 e 260 USD,0
Australia,RAR,Recoverable,<USD 40/kgU,0
Australia,RAR,Recoverable,Entre 40 e 80 USD,0
Australia,RAR,Recoverable,Entre 80 e 130 USD,1238700
Australia,RAR,Recoverable,Entre 130 e 260 USD,79100
Botswana,RAR,Recoverable,<USD 40/kgU,0
Botswana,RAR,Recoverable,Entre 40 e 80 USD,0
Botswana,RAR,Recoverable,Entre 80 e 130 USD,20400
Botswana,RAR,Recoverable,Entre 130 e 260 USD,0
Brazil,RAR,Recoverable,<USD 40/kgU,138100
Brazil,RAR,Recoverable,Entre 40 e 80 USD,17800
Brazil,RAR,Recoverable,Entre 80 e 130 USD,0
Brazil,RAR,Recoverable,Entre 130 e 260 USD,0
Canada,RAR,Recoverable,<USD 40/kgU,0
Canada,RAR,Recoverable,Entre 40 e 80 USD,282300
Canada,RAR,Recoverable,Entre 80 e 130 USD,207400
Canada,RAR,Recoverable,Entre 130 e 260 USD,159300
Chile,RAR,Recoverable,<USD 40/kgU,0
Chile,RAR,Recoverable,Entre 40 e 80 USD,0
Chile,RAR,Recoverable,Entre 80 e 130 USD,0
Chile,RAR,Recoverable,Entre 130 e 260 USD,600
China,RAR,Recoverable,<USD 40/kgU,31800
China,RAR,Recoverable,Entre 40 e 80 USD,23800
China,RAR,Recoverable,Entre 80 e 130 USD,52000
China,RAR,Recoverable,Entre 130 e 260 USD,3500
Congo Dem Rep of,RAR,Recoverable,<USD 40/kgU,0
Congo Dem Rep of,RAR,Recoverable,Entre 40 e 80 USD,0
Congo Dem Rep of,RAR,Recoverable,Entre 80 e 130 USD,0
Congo Dem Rep of,RAR,Recoverable,Entre 130 e 260 USD,1400
Czech Republic,RAR,Recoverable,<USD 40/kgU,0
Czech Republic,RAR,Recoverable,Entre 40 e 80 USD,0
Czech Republic,RAR,Recoverable,Entre 80 e 130 USD,800
Czech Republic,RAR,Recoverable,Entre 130 e 260 USD,50000
Denmark/Greenland,RAR,Recoverable,<USD 40/kgU,0
Denmark/Greenland,RAR,Recoverable,Entre 40 e 80 USD,0
Denmark/Greenland,RAR,Recoverable,Entre 80 e 130 USD,0
Denmark/Greenland,RAR,Recoverable,Entre 130 e 260 USD,51400
Finland,RAR,Recoverable,<USD 40/kgU,0
Finland,RAR,Recoverable,Entre 40 e 80 USD,0
Finland,RAR,Recoverable,Entre 80 e 130 USD,1200
Finland,RAR,Recoverable,Entre 130 e 260 USD,0
Gabon,RAR,Recoverable,<USD 40/kgU,0
Gabon,RAR,Recoverable,Entre 40 e 80 USD,0
Gabon,RAR,Recoverable,Entre 80 e 130 USD,4800
Gabon,RAR,Recoverable,Entre 130 e 260 USD,0
Germany,RAR,Recoverable,<USD 40/kgU,0
Germany,RAR,Recoverable,Entre 40 e 80 USD,0
Germany,RAR,Recoverable,Entre 80 e 130 USD,0
Germany,RAR,Recoverable,Entre 130 e 260 USD,3000
Greece,RAR,Recoverable,<USD 40/kgU,0
Greece,RAR,Recoverable,Entre 40 e 80 USD,0
Greece,RAR,Recoverable,Entre 80 e 130 USD,0
Greece,RAR,Recoverable,Entre 130 e 260 USD,1000
Guyana,RAR,Recoverable,<USD 40/kgU,0
Guyana,RAR,Recoverable,Entre 40 e 80 USD,0
Guyana,RAR,Recoverable,Entre 80 e 130 USD,0
Guyana,RAR,Recoverable,Entre 130 e 260 USD,2400
India,RAR,Recoverable,<USD 40/kgU,0
India,RAR,Recoverable,Entre 40 e 80 USD,0
India,RAR,Recoverable,Entre 80 e 130 USD,0
India,RAR,Recoverable,Entre 130 e 260 USD,213000
Indonesia,RAR,Recoverable,<USD 40/kgU,0
Indonesia,RAR,Recoverable,Entre 40 e 80 USD,1500
Indonesia,RAR,Recoverable,Entre 80 e 130 USD,4000
Indonesia,RAR,Recoverable,Entre 130 e 260 USD,0
Iran Islamic Rep of,RAR,Recoverable,<USD 40/kgU,0
Iran Islamic Rep of,RAR,Recoverable,Entre 40 e 80 USD,0
Iran Islamic Rep of,RAR,Recoverable,Entre 80 e 130 USD,3200
Iran Islamic Rep of,RAR,Recoverable,Entre 130 e 260 USD,0
Italy,RAR,Recoverable,<USD 40/kgU,0
Italy,RAR,Recoverable,Entre 40 e 80 USD,4800
Italy,RAR,Recoverable,Entre 80 e 130 USD,0
Italy,RAR,Recoverable,Entre 130 e 260 USD,0
Japan,RAR,Recoverable,<USD 40/kgU,0
Japan,RAR,Recoverable,Entre 40 e 80 USD,0
Japan,RAR,Recoverable,Entre 80 e 130 USD,6600
Japan,RAR,Recoverable,Entre 130 e 260 USD,0
Jordan,RAR,Recoverable,<USD 40/kgU,0
Jordan,RAR,Recoverable,Entre 40 e 80 USD,0
Jordan,RAR,Recoverable,Entre 80 e 130 USD,6000
Jordan,RAR,Recoverable,Entre 130 e 260 USD,0
Kazakhstan,RAR,Recoverable,<USD 40/kgU,252000
Kazakhstan,RAR,Recoverable,Entre 40 e 80 USD,64400
Kazakhstan,RAR,Recoverable,Entre 80 e 130 USD,51400
Kazakhstan,RAR,Recoverable,Entre 130 e 260 USD,19600
Malawi,RAR,Recoverable,<USD 40/kgU,0
Malawi,RAR,Recoverable,Entre 40 e 80 USD,0
Malawi,RAR,Recoverable,Entre 80 e 130 USD,7700
Malawi,RAR,Recoverable,Entre 130 e 260 USD,4300
Mali,RAR,Recoverable,<USD 40/kgU,0
Mali,RAR,Recoverable,Entre 40 e 80 USD,0
Mali,RAR,Recoverable,Entre 80 e 130 USD,5000
Mali,RAR,Recoverable,Entre 130 e 260 USD,0
Mauritania,RAR,Recoverable,<USD 40/kgU,0
Mauritania,RAR,Recoverable,Entre 40 e 80 USD,0
Mauritania,RAR,Recoverable,Entre 80 e 130 USD,6500
Mauritania,RAR,Recoverable,Entre 130 e 260 USD,200
Mexico,RAR,Recoverable,<USD 40/kgU,0
Mexico,RAR,Recoverable,Entre 40 e 80 USD,0
Mexico,RAR,Recoverable,Entre 80 e 130 USD,1800
Mexico,RAR,Recoverable,Entre 130 e 260 USD,0
Mongolia,RAR,Recoverable,<USD 40/kgU,0
Mongolia,RAR,Recoverable,Entre 40 e 80 USD,7600
Mongolia,RAR,Recoverable,Entre 80 e 130 USD,-1000
Mongolia,RAR,Recoverable,Entre 130 e 260 USD,0
Namibia,RAR,Recoverable,<USD 40/kgU,0
Namibia,RAR,Recoverable,Entre 40 e 80 USD,11800
Namibia,RAR,Recoverable,Entre 80 e 130 USD,295400
Namibia,RAR,Recoverable,Entre 130 e 260 USD,15600
Niger,RAR,Recoverable,<USD 40/kgU,14600
Niger,RAR,Recoverable,Entre 40 e 80 USD,242900
Niger,RAR,Recoverable,Entre 80 e 130 USD,77300
Niger,RAR,Recoverable,Entre 130 e 260 USD,-334800
Paraguay,RAR,Recoverable,<USD 40/kgU,0
Paraguay,RAR,Recoverable,Entre 40 e 80 USD,0
Paraguay,RAR,Recoverable,Entre 80 e 130 USD,3000
Paraguay,RAR,Recoverable,Entre 130 e 260 USD,0
Peru,RAR,Recoverable,<USD 40/kgU,0
Peru,RAR,Recoverable,Entre 40 e 80 USD,14000
Peru,RAR,Recoverable,Entre 80 e 130 USD,0
Peru,RAR,Recoverable,Entre 130 e 260 USD,0
Portugal,RAR,Recoverable,<USD 40/kgU,0
Portugal,RAR,Recoverable,Entre 40 e 80 USD,3600
Portugal,RAR,Recoverable,Entre 80 e 130 USD,1200
Portugal,RAR,Recoverable,Entre 130 e 260 USD,0
Romania,RAR,Recoverable,<USD 40/kgU,0
Romania,RAR,Recoverable,Entre 40 e 80 USD,20600
Romania,RAR,Recoverable,Entre 80 e 130 USD,185800
Romania,RAR,Recoverable,Entre 130 e 260 USD,45500
Russia,RAR,Recoverable,<USD 40/kgU,0
Russia,RAR,Recoverable,Entre 40 e 80 USD,8800
Russia,RAR,Recoverable,Entre 80 e 130 USD,0
Russia,RAR,Recoverable,Entre 130 e 260 USD,0
Slovak Republic,RAR,Recoverable,<USD 40/kgU,0
Slovak Republic,RAR,Recoverable,Entre 40 e 80 USD,1700
Slovak Republic,RAR,Recoverable,Entre 80 e 130 USD,0
Slovak Republic,RAR,Recoverable,Entre 130 e 260 USD,0
Slovenia,RAR,Recoverable,<USD 40/kgU,0
Slovenia,RAR,Recoverable,Entre 40 e 80 USD,7200
Slovenia,RAR,Recoverable,Entre 80 e 130 USD,5000
Slovenia,RAR,Recoverable,Entre 130 e 260 USD,0
Somalia,RAR,Recoverable,<USD 40/kgU,0
Somalia,RAR,Recoverable,Entre 40 e 80 USD,0
Somalia,RAR,Recoverable,Entre 80 e 130 USD,0
Somalia,RAR,Recoverable,Entre 130 e 260 USD,5200
South Africa,RAR,Recoverable,<USD 40/kgU,0
South Africa,RAR,Recoverable,Entre 40 e 80 USD,166300
South Africa,RAR,Recoverable,Entre 80 e 130 USD,69700
South Africa,RAR,Recoverable,Entre 130 e 260 USD,19700
Spain,RAR,Recoverable,<USD 40/kgU,8100
Spain,RAR,Recoverable,Entre 40 e 80 USD,11000
Spain,RAR,Recoverable,Entre 80 e 130 USD,0
Spain,RAR,Recoverable,Entre 130 e 260 USD,0
Sweden,RAR,Recoverable,<USD 40/kgU,0
Sweden,RAR,Recoverable,Entre 40 e 80 USD,0
Sweden,RAR,Recoverable,Entre 80 e 130 USD,4900
Sweden,RAR,Recoverable,Entre 130 e 260 USD,0
Tanzania,RAR,Recoverable,<USD 40/kgU,0
Tanzania,RAR,Recoverable,Entre 40 e 80 USD,38300
Tanzania,RAR,Recoverable,Entre 80 e 130 USD,1400
Tanzania,RAR,Recoverable,Entre 130 e 260 USD,0
Turkey,RAR,Recoverable,<USD 40/kgU,0
Turkey,RAR,Recoverable,Entre 40 e 80 USD,0
Turkey,RAR,Recoverable,Entre 80 e 130 USD,0
Turkey,RAR,Recoverable,Entre 130 e 260 USD,0
Ukraine,RAR,Recoverable,<USD 40/kgU,0
Ukraine,RAR,Recoverable,Entre 40 e 80 USD,45000
Ukraine,RAR,Recoverable,Entre 80 e 130 USD,28300
Ukraine,RAR,Recoverable,Entre 130 e 260 USD,47300
United States,RAR,Recoverable,<USD 40/kgU,0
United States,RAR,Recoverable,Entre 40 e 80 USD,9000
United States,RAR,Recoverable,Entre 80 e 130 USD,50400
United States,RAR,Recoverable,Entre 130 e 260 USD,52800
Uzbekistan,RAR,Recoverable,<USD 40/kgU,27200
Uzbekistan,RAR,Recoverable,Entre 40 e 80 USD,0
Uzbekistan,RAR,Recoverable,Entre 80 e 130 USD,22200
Uzbekistan,RAR,Recoverable,Entre 130 e 260 USD,15600
Viet Nam,RAR,Recoverable,<USD 40/kgU,0
Viet Nam,RAR,Recoverable,Entre 40 e 80 USD,0
Viet Nam,RAR,Recoverable,Entre 80 e 130 USD,900
Viet Nam,RAR,Recoverable,Entre 130 e 260 USD,0
Zambia,RAR,Recoverable,<USD 40/kgU,0
Zambia,RAR,Recoverable,Entre 40 e 80 USD,0
Zambia,RAR,Recoverable,Entre 80 e 130 USD,12800
Zambia,RAR,Recoverable,Entre 130 e 260 USD,0
Zimbabwe,RAR,Recoverable,<USD 40/kgU,0
Zimbabwe,RAR,Recoverable,Entre 40 e 80 USD,0
Zimbabwe,RAR,Recoverable,Entre 80 e 130 USD,0
Zimbabwe,RAR,Recoverable,Entre 130 e 260 USD,0
Argentina,Inferred,in Situ,<USD 40/kgU,3200
Argentina,Inferred,in Situ,Entre 40 e 80 USD,13100
Argentina,Inferred,in Situ,Entre 80 e 130 USD,15500
Argentina,Inferred,in Situ,Entre 130 e 260 USD,1300
Australia,Inferred,in Situ,<USD 40/kgU,0
Australia,Inferred,in Situ,Entre 40 e 80 USD,0
Australia,Inferred,in Situ,Entre 80 e 130 USD,700900
Australia,Inferred,in Situ,Entre 130 e 260 USD,284200
Bolivia,Inferred,in Situ,<USD 40/kgU,0
Bolivia,Inferred,in Situ,Entre 40 e 80 USD,0
Bolivia,Inferred,in Situ,Entre 80 e 130 USD,0
Bolivia,Inferred,in Situ,Entre 130 e 260 USD,1700
Botswana,Inferred,in Situ,<USD 40/kgU,0
Botswana,Inferred,in Situ,Entre 40 e 80 USD,0
Botswana,Inferred,in Situ,Entre 80 e 130 USD,107700
Botswana,Inferred,in Situ,Entre 130 e 260 USD,0
Brazil,Inferred,in Situ,<USD 40/kgU,0
Brazil,Inferred,in Situ,Entre 40 e 80 USD,104900
Brazil,Inferred,in Situ,Entre 80 e 130 USD,67700
Brazil,Inferred,in Situ,Entre 130 e 260 USD,0
Canada,Inferred,in Situ,<USD 40/kgU,0
Canada,Inferred,in Situ,Entre 40 e 80 USD,11500
Canada,Inferred,in Situ,Entre 80 e 130 USD,101800
Canada,Inferred,in Situ,Entre 130 e 260 USD,134600
Central African Republic,Inferred,in Situ,<USD 40/kgU,0
Central African Republic,Inferred,in Situ,Entre 40 e 80 USD,0
Central African Republic,Inferred,in Situ,Entre 80 e 130 USD,0
Central African Republic,Inferred,in Situ,Entre 130 e 260 USD,36500
Chad,Inferred,in Situ,<USD 40/kgU,0
Chad,Inferred,in Situ,Entre 40 e 80 USD,0
Chad,Inferred,in Situ,Entre 80 e 130 USD,0
Chad,Inferred,in Situ,Entre 130 e 260 USD,3200
Chile,Inferred,in Situ,<USD 40/kgU,0
Chile,Inferred,in Situ,Entre 40 e 80 USD,0
Chile,Inferred,in Situ,Entre 80 e 130 USD,0
Chile,Inferred,in Situ,Entre 130 e 260 USD,1200
China,Inferred,in Situ,<USD 40/kgU,59200
China,Inferred,in Situ,Entre 40 e 80 USD,49900
China,Inferred,in Situ,Entre 80 e 130 USD,52900
China,Inferred,in Situ,Entre 130 e 260 USD,23000
