Country,Deposit ID,Deposit Name,Deposit Type,Deposit Subtype,Resource Range,Grade Range (Teor)
Australia,1866,Oak Dam East,Polymetallic iron oxide breccia complex,,≥5000 - <10000,≥0.05 - <0.10
Australia,7070,Oak Dam West,Polymetallic iron oxide breccia complex,,≥2500 - <5000,≥0.01 - <0.05
Australia,1336,Oban,Sandstone,Basal Channel,≥1000 - <2500,≥0.01 - <0.05
Australia,1695,Odin,Metasomatite,Na-metasomatite,≥5000 - <10000,≥0.01 - <0.05
Australia,53,Olympic Dam,Polymetallic iron oxide breccia complex,,≥1000000,≥0.01 - <0.05
Australia,947,Oobagooma-Yampi,Sandstone,Tabular,≥5000 - <10000,≥0.10 - <0.20
Australia,54,Outcamp,Sandstone,Mafic dykes and sills in Proterozoic sandstone,≥300 - <1000,≥0.10 - <0.20
Australia,2018,Palette,Proterozoic unconformity,Basement-hosted,≥25 - <300,≥1.00 - <5.00
Australia,1854,Pannikan,Sandstone,Tabular,≥1000 - <2500,≥0.10 - <0.20
Australia,1944,Peninsula ,Surficial,Fluvial valley,≥1000 - <2500,≥0.01 - <0.05
Australia,1757,Pepegoona,Sandstone,Tabular,≥300 - <1000,≥0.10 - <0.20
Australia,1855,Pepegoona West,Sandstone,Tabular,≥1000 - <2500,≥0.10 - <0.20
Australia,1770,Plumbush,Sandstone,Tabular,≥5000 - <10000,≥0.01 - <0.05
Australia,1820,Princess,Sandstone,Tabular,≥1000 - <2500,≥0.05 - <0.10
Australia,977,Prominent Hill,Polymetallic iron oxide breccia complex,,≥10000 - <25000,≥0.01 - <0.05
Australia,1588,Queen's Gift,Metasomatite,Na-metasomatite,≥300 - <1000,≥0.01 - <0.05
Australia,56,Radium Hill,Intrusive,Anatectic pegmatite-alaskite,≥300 - <1000,≥0.05 - <0.10
Australia,58,Radium Ridge,Polymetallic iron oxide breccia complex,,≥1000 - <2500,≥0.05 - <0.10
Australia,948,Ranger 1 N°1,Proterozoic unconformity,Basement-hosted,≥50000 - <100000,≥0.20 - <0.50
Australia,952,Ranger 1 N°3,Proterozoic unconformity,Basement-hosted,≥100000 - <1000000,≥0.05 - <0.10
Australia,59,Ranger 68,Proterozoic unconformity,Basement-hosted,≥2500 - <5000,≥0.20 - <0.50
Australia,1829,Ranger Deeps,Proterozoic unconformity,Basement-hosted,≥25000 - <50000,≥0.10 - <0.20
Australia,60,Redtree,Sandstone,Tabular,≥10000 - <25000,≥0.05 - <0.10
Australia,2019,Rockhole Area,Proterozoic unconformity,Basement-hosted,≥25 - <300,≥0.50 - <1.00
Australia,61,Rum Jungle Creek South,Proterozoic unconformity,Basement-hosted,≥1000 - <2500,≥0.20 - <0.50
Australia,2020,Saddle Ridge,Proterozoic unconformity,Basement-hosted,≥25 - <300,≥0.20 - <0.50
Australia,1843,Saffron,Sandstone,Basal Channel,≥1000 - <2500,≥0.01 - <0.05
Australia,2021,Scinto V,Proterozoic unconformity,Basement-hosted,>0 - <25,≥0.20 - <0.50
Australia,2022,Scinto VI,Proterozoic unconformity,Basement-hosted,>0 - <25,≥0.10 - <0.20
Australia,5446,Shelf,Sandstone,Basal Channel,≥300 - <1000,≥0.01 - <0.05
Australia,1545,Shogun,Sandstone,Tabular,≥1000 - <2500,≥0.05 - <0.10
Australia,62,Skal,Metasomatite,Na-metasomatite,≥5000 - <10000,≥0.05 - <0.10
Australia,2023,Skull,Proterozoic unconformity,Basement-hosted,>0 - <25,≥0.20 - <0.50
