Country,Uranium Required [T],Year
Jordan,0,April 2019
Kazakhstan,0,April 2019
Korea RO (South),4730,April 2019
Lithuania,0,April 2019
Mexico,248,April 2019
Netherlands,82,April 2019
Pakistan,217,April 2019
Poland,0,April 2019
Romania,183,April 2019
Russia,5380,April 2019
Saudi Arabia,0,April 2019
Slovakia,651,April 2019
Slovenia,141,April 2019
South Africa,279,April 2019
Spain,1275,April 2019
Sweden,1188,April 2019
Switzerland,497,April 2019
Thailand,0,April 2019
Turkey,0,April 2019
Ukraine ,1944,April 2019
UAE,627,April 2019
United Kingdom,1772,April 2019
USA,18996,April 2019
Uzbekistan,0,April 2019
Argentina,198,February 2020
Armenia,77,February 2020
Bangladesh,0,February 2020
Belarus,701,February 2020
Belgium,999,February 2020
Brazil,325,February 2020
Bulgaria,331,February 2020
Canada,1538,February 2020
China,9834,February 2020
Czech Republic,665,February 2020
Egypt,0,February 2020
Finland,765,February 2020
France,8936,February 2020
Germany,1264,February 2020
Hungary,352,February 2020
India,967,February 2020
Iran,157,February 2020
Japan,2000,February 2020
Jordan,0,February 2020
Kazakhstan,0,February 2020
Korea RO (South),4903,February 2020
Lithuania,0,February 2020
Mexico,251,February 2020
Netherlands,83,February 2020
Pakistan,196,February 2020
Poland,0,February 2020
Romania,185,February 2020
Russia,4834,February 2020
Saudi Arabia,0,February 2020
Slovakia,515,February 2020
Slovenia,141,February 2020
South Africa,283,February 2020
Spain,1290,February 2020
Sweden,962,February 2020
Switzerland,390,February 2020
Thailand,0,February 2020
Turkey,0,February 2020
Ukraine ,1893,February 2020
UAE,966,February 2020
United Kingdom,1820,February 2020
USA,19746,February 2020
Uzbekistan,0,February 2020
Argentina,167,October 2022
Armenia,50,October 2022
Bangladesh,0,October 2022
Belarus,179,October 2022
Belgium,790,October 2022
Brazil,340,October 2022
Bulgaria,322,October 2022
Canada,1492,October 2022
China,9563,October 2022
Czech Republic,706,October 2022
Egypt,0,October 2022
Finland,421,October 2022
France,8233,October 2022
Germany,521,October 2022
Hungary,320,October 2022
India,977,October 2022
Iran,153,October 2022
Japan,1396,October 2022
Jordan,0,October 2022
Kazakhstan,0,October 2022
Korea RO (South),4270,October 2022
Lithuania,0,October 2022
Mexico,226,October 2022
Netherlands,69,October 2022
Pakistan,787,October 2022
Poland,0,October 2022
Romania,185,October 2022
Russia,5925,October 2022
Saudi Arabia,0,October 2022
Slovakia,359,October 2022
Slovenia,127,October 2022
South Africa,277,October 2022
Spain,1221,October 2022
Sweden,914,October 2022
Switzerland,412,October 2022
Thailand,0,October 2022
Turkey,0,October 2022
Ukraine,1876,October 2022
UAE,907,October 2022
United Kingdom,1259,October 2022
USA,17587,October 2022
Uzbekistan,0,October 2022
Argentina,167,March 2023
Armenia,50,March 2023
Bangladesh,0,March 2023
Belarus,179,March 2023
Belgium,790,March 2023
Brazil,340,March 2023
Bulgaria,322,March 2023
Canada,1492,March 2023
China,9563,March 2023
Czech Republic,706,March 2023
Egypt,0,March 2023
Finland,421,March 2023
France,8233,March 2023
Germany,521,March 2023
Hungary,320,March 2023
India,977,March 2023
Iran,153,March 2023
Japan,1396,March 2023
Jordan,0,March 2023
Kazakhstan,0,March 2023
Korea RO (South),4270,March 2023
Lithuania,0,March 2023
Mexico,226,March 2023
Netherlands,69,March 2023
Pakistan,787,March 2023
Poland,0,March 2023
Romania,185,March 2023
Russia,5925,March 2023
Saudi Arabia,0,March 2023
Slovakia,359,March 2023
Slovenia,127,March 2023
South Africa,277,March 2023
Spain,1221,March 2023
Sweden,914,March 2023
Switzerland,412,March 2023
Turkey,0,March 2023
Ukraine,1876,March 2023
UAE,907,March 2023
United Kingdom,1259,March 2023
USA,17587,March 2023
Uzbekistan,0,March 2023
Argentina,169,December 2023
Armenia,55,December 2023
Bangladesh,371,December 2023
Belarus,357,December 2023
Belgium,516,December 2023
Brazil,339,December 2023
Bulgaria,334,December 2023
Canada,1482,December 2023
China,11303,December 2023
Czech Republic,715,December 2023
Egypt,0,December 2023
Finland,616,December 2023
France,8783,December 2023
Germany,0,December 2023
Hungary,320,December 2023
India,1408,December 2023
Iran,153,December 2023
Japan,1785,December 2023
Jordan,0,December 2023
Kazakhstan,0,December 2023
Korea RO (South),4105,December 2023
Lithuania,0,December 2023
Mexico,237,December 2023
Netherlands,69,December 2023
Pakistan,558,December 2023
Poland,0,December 2023
Romania,185,December 2023
Russia,6284,December 2023
Saudi Arabia,0,December 2023
Slovakia,443,December 2023
Slovenia,127,December 2023
South Africa,277,December 2023
Spain,1218,December 2023
Sweden,932,December 2023
Switzerland,412,December 2023
Turkey,441,December 2023
Ukraine,1567,December 2023
UAE,853,December 2023
United Kingdom,908,December 2023
USA,18045,December 2023
Uzbekistan,0,December 2023
