Country,Probabilidade,Disponibilidade,Preço,Urânio (Ton.)
Mali,Inferred,in Situ,<USD 130/kgU,5200
Mali,Inferred,in Situ,<USD 260/kgU,5200
Mali,RAR,in Situ,<USD 40/kgU,0
Mali,RAR,in Situ,<USD 80/kgU,0
Mali,RAR,in Situ,<USD 130/kgU,6700
Mali,RAR,in Situ,<USD 260/kgU,6700
Mali,RAR,Recoverable,<USD 40/kgU,0
Mali,RAR,Recoverable,<USD 80/kgU,0
Mali,RAR,Recoverable,<USD 130/kgU,5000
Mali,RAR,Recoverable,<USD 260/kgU,5000
Mali,Inferred,Recoverable,<USD 40/kgU,0
Mali,Inferred,Recoverable,<USD 80/kgU,0
Mali,Inferred,Recoverable,<USD 130/kgU,3900
Mali,Inferred,Recoverable,<USD 260/kgU,3900
Mauritania,Inferred,in Situ,<USD 40/kgU,0
Mauritania,Inferred,in Situ,<USD 80/kgU,0
Mauritania,Inferred,in Situ,<USD 130/kgU,14300
Mauritania,Inferred,in Situ,<USD 260/kgU,23700
Mauritania,RAR,Recoverable,<USD 40/kgU,0
Mauritania,RAR,Recoverable,<USD 80/kgU,0
Mauritania,RAR,Recoverable,<USD 130/kgU,6500
Mauritania,RAR,Recoverable,<USD 260/kgU,6700
Mauritania,Inferred,Recoverable,<USD 40/kgU,0
Mauritania,Inferred,Recoverable,<USD 80/kgU,0
Mauritania,Inferred,Recoverable,<USD 130/kgU,12300
Mauritania,Inferred,Recoverable,<USD 260/kgU,19300
Mauritania,RAR,in Situ,<USD 40/kgU,0
Mauritania,RAR,in Situ,<USD 80/kgU,0
Mauritania,RAR,in Situ,<USD 130/kgU,7500
Mauritania,RAR,in Situ,<USD 260/kgU,7900
Mexico,Inferred,in Situ,<USD 40/kgU,0
Mexico,Inferred,in Situ,<USD 80/kgU,0
Mexico,Inferred,in Situ,<USD 130/kgU,0
Mexico,Inferred,in Situ,<USD 260/kgU,0
Mexico,Inferred,Recoverable,<USD 40/kgU,0
Mexico,Inferred,Recoverable,<USD 80/kgU,0
Mexico,Inferred,Recoverable,<USD 130/kgU,1800
Mexico,Inferred,Recoverable,<USD 260/kgU,3200
Mexico,RAR,in Situ,<USD 40/kgU,0
Mexico,RAR,in Situ,<USD 80/kgU,0
Mexico,RAR,in Situ,<USD 130/kgU,0
Mexico,RAR,in Situ,<USD 260/kgU,0
Mexico,RAR,Recoverable,<USD 40/kgU,0
Mexico,RAR,Recoverable,<USD 80/kgU,0
Mexico,RAR,Recoverable,<USD 130/kgU,1800
Mexico,RAR,Recoverable,<USD 260/kgU,1800
Mongolia,Inferred,in Situ,<USD 40/kgU,0
Mongolia,Inferred,in Situ,<USD 80/kgU,12400
Mongolia,Inferred,in Situ,<USD 130/kgU,104100
Mongolia,Inferred,in Situ,<USD 260/kgU,104100
Mongolia,RAR,in Situ,<USD 40/kgU,0
Mongolia,RAR,in Situ,<USD 80/kgU,10100
Mongolia,RAR,in Situ,<USD 130/kgU,88000
Mongolia,RAR,in Situ,<USD 260/kgU,88200
Mongolia,RAR,Recoverable,<USD 40/kgU,0
Mongolia,RAR,Recoverable,<USD 80/kgU,7600
Mongolia,RAR,Recoverable,<USD 130/kgU,6600
Mongolia,RAR,Recoverable,<USD 260/kgU,6600
Mongolia,Inferred,Recoverable,<USD 40/kgU,0
Mongolia,Inferred,Recoverable,<USD 80/kgU,9300
Mongolia,Inferred,Recoverable,<USD 130/kgU,78400
Mongolia,Inferred,Recoverable,<USD 260/kgU,78400
Namibia,Inferred,in Situ,<USD 40/kgU,0
Namibia,Inferred,in Situ,<USD 80/kgU,9200
Namibia,Inferred,in Situ,<USD 130/kgU,333000
